h,N,norm_mean,norm_decom,time_mean,time_decom
142,10153,267.0887707765,9101.77731021452,168.57177211,154.83212894
140,9870,263.101915622629,8848.37142802536,161.96472026,144.12932034
138,9591,259.118306033585,8598.54303941407,154.88883801,136.4159851
136,9316,255.137991132774,8352.2921435683,144.8325078,131.98403193
134,9045,251.161021516365,8109.61874106136,55.81694182,50.17841632
132,8778,247.187449317771,7870.52283184965,59.38904143,52.51084168
130,8515,243.217328273537,7635.00441539837,64.12387658,56.37677953
128,8256,239.250713808041,7403.06349204441,72.94276054,66.24902294
126,8001,235.287663102618,7174.7000615996,51.9824083,46.52453442
124,7750,231.328235186723,6949.91412398144,49.21454187,44.14836562
122,7503,227.372491025457,6728.70567916638,50.95789695,46.39866533
120,7260,223.420493614597,6511.07472699623,58.40608982,51.7995165
118,7021,219.472308084878,6297.02126746327,45.15107298,40.63456596
116,6786,215.528001808611,6086.54530046127,39.59680655,34.52465283
114,6555,211.587644517748,5879.64682588168,42.69767203,37.10196797
112,6328,207.651308428099,5676.32584362145,45.60646561,40.24943854
110,6105,203.719068373512,5476.58235359523,39.76177878,32.90123207
108,5886,199.791001947977,5280.41635566944,32.93423782,27.06272354
106,5671,195.867189660718,5087.8278497392,36.47278244,31.16743356
104,5460,191.947715100695,4898.81683564329,34.3419739,30.36404419
102,5253,188.032665115277,4713.38331322623,31.55446607,28.05978616
100,5050,184.122130002241,4531.52728236255,27.28825742,23.14928327
98,4851,180.216203716613,4353.24874287968,30.47284933,25.17908086
96,4656,176.314984094974,4178.54769457654,26.81551483,23.91327172
94,4465,172.418573098152,4007.42413726165,25.41952269,22.20631112
92,4278,168.527077074148,3839.87807071093,25.16544971,19.71042974
90,4095,164.640607044178,3675.90949469273,22.07278436,19.05997366
88,3916,160.759279013165,3515.51840893342,21.01293974,17.8059689
86,3741,156.883214309589,3358.70481317788,19.33075638,16.55359515
84,3570,153.012539954202,3205.46870709137,17.93715321,15.67950251
82,3403,149.147389066203,3055.81009033587,16.49305741,15.18507472
80,3240,145.287901306588,2909.72896253581,15.83939792,13.90145959
78,3081,141.434223365921,2767.22532327462,14.87867271,12.50102086
76,2926,137.586509501282,2628.29917209,14.42860422,12.96646699
74,2775,133.744922128794,2492.95050847439,13.02402657,11.61026377
72,2628,129.909632478991,2361.17933185839,12.07962299,9.92977599
70,2485,126.080821323619,2232.98564160716,11.51357441,9.92445084
68,2346,122.258679783805,2108.36943701199,11.27285925,9.11980616
66,2211,118.443410231013,1987.33071727278,10.91314858,8.70972861
64,2080,114.635227294644,1869.86948149318,9.60470249,7.81515256
62,1953,110.834358992104,1755.98572865492,8.59377427,7.26607519
60,1830,107.041048000576,1645.67945760632,7.76201534,6.32688107
58,1711,103.255553092901,1538.950667031,5.99747835,5.02880462
56,1596,99.4781507648454,1435.79935542013,5.57017258,4.52425201
54,1485,95.7091370862891,1336.22552104112,5.30478452,4.37625675
52,1378,91.9488298154525,1240.22916188825,4.87383368,4.03881559
50,1275,88.1975708241669,1147.81027562738,3.76512941,3.12207801
48,1176,84.4557288925784,1058.96885953045,3.55446964,2.93961218
46,1081,80.7237029449808,973.704910383313,3.37825183,2.75616072
44,990,77.0019258159231,892.018424376073,3.10382211,2.59867379
42,903,73.2908686573108,813.90939695706,2.79161548,2.31568908
40,820,69.5910461256245,739.377822643441,2.38395475,1.97581259
38,741,65.9030225250977,668.423694770876,2.09504307,1.73852505
36,666,62.2274191306173,601.047005157113,1.8869923,1.56615484
34,595,58.5649229772433,537.247743644712,2.04436019,1.74561712
32,528,54.9162974866194,477.025897467154,2.11333601,1.75435004
30,465,51.2823954107203,420.381450355298,2.11269876,1.7087736
28,406,47.6641747187115,367.314381250084,2.12470972,1.80448946
26,351,44.0627182416749,317.824662403035,1.60864282,1.40185193
24,300,40.4792581276932,271.912256497424,1.43653076,1.20595605
22,253,36.9152064348957,229.577112146095,1.26996723,1.08788672
20,210,33.3721934373102,190.819156590387,1.11846655,0.98732971
18,171,29.8521152084475,155.638283341221,0.99938598,0.84990332
16,136,26.3571910549659,124.034330155443,0.7483128,0.64048018
14,105,22.8900271151412,96.0070372449516,0.6233019,0.51607952
12,78,19.4536674057627,71.5559614841718,0.55553112,0.50256832
10,55,16.0515608674841,50.6802814074566,0.50547187,0.47138447
8,36,12.6871721331017,33.378288491576,0.680057,0.594172
6,21,9.36206044127999,19.6457670011708,0.60118681,0.51515296
4,10,6.06575971276907,9.46885385183296,0.31243654,0.26231009
2,3,2.68462423800413,2.76026225479357,0.23212815,0.20569569
