n,norm_mean,norm_enum,norm_decom,time_mean,time_enum,time_decom,enum_prep,enum_solv,enum_yalm
20,18.3717300854371,18.516202370636,45.2598020409798,0.6614268,2833.20202885,0.28626291,2832.9158971,0.04596167,0.183338330000001
19,17.4572891038721,17.6009448300546,41.8744415224214,0.48914749,1261.49001906,0.35126838,1261.18210348,0.04605416,0.185045840000001
18,16.5426746949676,16.6854281514171,38.5791604001213,0.30482087,349.94848611,0.24484805,349.7585411,0.02637796,0.113022040000001
17,15.6278564094441,15.7696075916147,35.3765211705439,0.28101498,163.92354473,0.23732311,163.74491176,0.02311833,0.107081670000001
16,14.7127962171785,14.8534275217487,32.2693205351701,0.26936771,78.74075588,0.22545677,78.5719399,0.01866961,0.105730389999999
15,13.7974459877751,13.936817817847,29.2606276834176,0.26345936,37.25894091,0.21466264,37.10136028,0.01666837,0.0989316299999994
14,12.8817438930549,13.0196887524043,26.3538319995356,0.23241198,17.79473718,0.19674381,17.65438043,0.01174774,0.0904522600000009
13,11.9656091508236,12.1019239195699,23.5527034122779,0.42861713,10.88172912,0.34042484,10.63004032,0.01228295,0.16911705
12,11.0489341412475,11.1833687882881,20.8614700624018,0.49827904,5.70767625,0.40111243,5.44534143,0.01268446,0.17781554
11,10.1315722199622,10.2638144441535,18.2849202679054,0.53054862,2.81586968,0.41764488,2.51831615,0.010422,0.196678
10,9.21331820368351,9.34297080568587,15.8285395469728,0.53006345,1.61658266,0.46335638,1.31129149,0.00743231,0.20686769
9,8.29387579360077,8.42042283980903,13.4986999221291,0.48510666,0.96519771,0.4351341,0.66090102,0.00656579,0.20563421
8,7.37280039878754,7.49555460773851,11.3029303456806,0.36342138,0.54317149,0.32934591,0.32637753,0.00479824,0.14840176
7,6.44939240892859,6.56740985396174,9.25031927743226,0.43143034,0.49258686,0.3823441,0.21143353,0.00440101,0.19369899
6,5.52248185626567,5.63441619592673,7.35214626109917,0.43920321,0.40333414,0.37459407,0.15074517,0.00339343,0.17310657
5,4.58994726647694,4.69378342467202,5.6229445539159,0.43330878,0.36098459,0.37846914,0.10933724,0.00312426,0.16837574
4,3.64747772169926,3.74000473359442,4.08248292872528,0.43685642,0.3638826,0.37321299,0.0981202,0.00245039,0.185749609999999
3,2.68462423800413,2.76026225479353,2.76026225479357,0.39715319,0.34860385,0.36287741,0.08784862,0.00210527,0.180294729999998
2,2.29415735235585,2.35702261786159,2.35702261786159,0.41455248,0.3415101,0.3758948,0.08125408,0.00147081,0.174729189999999
